timestamp,headline,price
2026-05-01 13:12:10+00:00,"Billions of meals at risk due to Iran war, says fertiliser boss",277.05010986328125
2026-05-01 14:58:38+00:00,Crayola toys recalled over possible asbestos contamination,277.05010986328125
2026-05-01 15:12:16+00:00,"No evidence of widespread fuel price-gouging, watchdog says",277.05010986328125
2026-05-01 17:03:19+00:00,The Real Greek rescued by Cote Brasserie-owner,277.05010986328125
2026-05-01 19:42:56+00:00,Trump says he will hike tariffs on EU cars to 25%,277.05010986328125
2026-05-01 21:09:52+00:00,Pentagon says US military to be an 'AI-first' fighting force,277.05010986328125
2026-05-01 21:16:44+00:00,"Mortgages, jobs and energy bills - how the Iran war will affect your money",277.05010986328125
2026-05-02 23:16:13+00:00,Spirit Airlines shutting down after rescue talks collapse,277.05010986328125
2026-05-03 01:48:14+00:00,Struggling High Streets fuel sense of neglect for voters ahead of local elections,277.05010986328125
2026-05-03 09:13:54+00:00,Airlines can cancel flights in advance over fuel shortages under new plans,277.05010986328125
2026-05-03 09:52:06+00:00,Voters will judge Trump on the economy - how is it doing?,277.05010986328125
2026-05-03 12:06:34+00:00,In five charts: How UAE's exit could affect Opec's influence over the oil price,277.05010986328125
2026-05-03 23:03:41+00:00,The threat to summer holidays looming from jet fuel shortages,277.05010986328125
2026-05-03 23:07:44+00:00,Amsterdam bans public adverts for meat and fossil fuels,277.05010986328125
2026-05-04 04:24:22+00:00,Samsung family pays off record $8bn inheritance tax bill,277.05010986328125
2026-05-04 13:18:19+00:00,US denies Iranian report warship was struck by missiles,277.05010986328125
2026-05-04 15:12:39+00:00,GameStop makes $55.5bn takeover offer for eBay,277.0899963378906
